points_count,time_1,time_2,time_3,time_4,time_5,time_6
5000000,89.6,52.8,37.2,23.6,23.8,26.6
10000000,179.6,90.4,72,51.2,39.2,31.6
15000000,268.4,139,91,84,60.8,47.4
20000000,358.6,192,138,102.2,77.8,62.6
25000000,448.6,244,162.8,131.2,102,102.4
30000000,546.4,274.8,195.4,160.2,121.6,100.8
35000000,631.4,324,232,182.4,155.8,118.6
40000000,722.8,368.6,257.6,189.2,160.4,145.6
45000000,819.6,416.6,297.6,224.6,176.4,161.4
50000000,908.4,462.8,325,243.8,194.8,166.4
55000000,1001,515.4,360.8,265.6,213,186.4
60000000,1093.6,564.6,383.6,306.6,248.2,239.6
65000000,1208.6,628.8,421.6,318.2,272.2,214.6
70000000,1290.2,669.8,453.4,338.2,270.6,232.6
75000000,1378.8,694.6,481,361.8,291.2,275.8
80000000,1474.6,746.4,513.6,387.4,321.2,270.2
85000000,1571.4,798.4,545.8,405.6,332.6,283
90000000,1654.4,850.8,580,436.8,351.8,308.8
95000000,1745.2,889.4,612.6,460.2,376.8,336
100000000,1850.8,934.4,635.2,478.8,393.8,324.2